ID,Girls_max,Boys_max,Total
306-3062008,9,20,29
306-3062012,61,59,120
306-3062013,38,49,87
306-3062015,62,45,107
306-3062016,32,22,54
306-3062019,34,26,60
306-3062020,26,33,59
306-3062025,39,39,78
306-3062031,27,30,57
306-3062033,39,42,81
306-3062034,30,26,56
306-3062036,51,32,83
306-3062040,0,0,0
306-3062043,34,27,61
306-3062046,42,48,90
306-3062047,62,51,113
306-3062050,75,0,75
306-3062055,54,49,103
306-3062057,27,35,62
306-3062058,11,15,26
306-3062061,0,0,0
306-3062062,13,17,30
306-3062064,0,0,0
306-3062065,14,18,32
306-3062066,0,0,0
306-3062067,32,28,60
306-3062068,25,33,58
306-3062073,25,26,51
306-3062076,45,48,93
306-3062081,0,75,75
306-3062082,35,37,72
306-3062083,19,11,30
306-3062084,17,27,44
306-3062085,20,19,39
306-3062086,14,18,32
306-3062087,0,0,0
306-3062088,15,11,26
306-3062090,56,52,108
306-3062091,13,9,22
306-3062093,46,40,86
306-3062097,28,28,56
306-3062098,12,16,28
306-3062099,30,25,55
306-3062100,28,25,53
306-3062102,29,31,60
306-3062103,30,32,62
306-3062104,0,0,0
306-3062105,31,36,67
306-3062107,42,46,88
306-3062109,17,20,37
306-3062111,14,16,30
306-3062113,63,71,134
306-3062114,53,42,95
306-3062115,35,26,61
306-3063000,26,27,53
306-3063003,20,11,31
306-3063006,53,55,108
306-3063008,27,28,55
306-3063300,10,20,30
306-3063301,15,17,32
306-3063400,16,15,31
306-3063401,33,25,58
306-3063403,35,40,75
306-3063404,10,21,31
306-3063408,34,25,59
306-3063409,17,14,31
306-3063411,29,20,49
306-3063415,40,42,82
306-3063416,11,18,29
306-3063417,29,32,61
306-3063418,39,51,90
306-3063419,26,30,56
306-3063420,48,40,88
306-3065200,37,35,72
306-3065201,47,40,87
306-3065202,33,27,60
306-3066088,0,0,0
306-3066909,61,48,109
306-3067001,9,6,15
306-3067004,0,17,17
306-3067005,4,9,13
306-3067006,6,17,23
307-3071104,0,3,3
307-3072000,33,27,60
307-3072001,34,25,59
307-3072003,0,0,0
307-3072004,0,0,0
307-3072005,45,53,98
307-3072010,18,16,34
307-3072022,27,24,51
307-3072033,28,29,57
307-3072046,41,48,89
307-3072058,24,32,56
307-3072059,28,31,59
307-3072067,33,28,61
307-3072071,56,30,86
